City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,chekmagush,55.1319,54.6556,11.26,59,2,1.81,RU,1684618621
310,luanda,-8.8368,13.2343,26.0,78,20,3.6,AO,1684618597
311,shingu,33.7333,135.9833,20.94,83,100,1.0,JP,1684618621
312,afaahiti,-17.75,-149.2833,28.93,81,43,3.31,PF,1684618621
313,sinabang,2.4803,96.3801,26.89,82,100,0.44,ID,1684618622
314,tofol,5.3248,163.0078,28.49,76,94,5.52,FM,1684618622
315,dudinka,69.4058,86.1778,-8.52,96,32,2.26,RU,1684618622
316,gorontalo,0.5412,123.0595,23.71,95,100,0.95,ID,1684618622
317,guerrero negro,27.9769,-114.0611,21.71,55,0,6.95,MX,1684618622
318,leuze,50.5606,4.9103,13.43,96,71,3.52,BE,1684618622
319,swakopmund,-22.6833,14.5333,12.77,88,0,1.86,NA,1684618622
320,akjoujt,19.6969,-14.4164,28.49,11,24,5.07,MR,1684618622
321,whakatane,-37.9585,176.9854,16.95,73,57,1.79,NZ,1684618622
322,rikaze,29.25,88.8833,6.21,45,61,1.32,CN,1684618622
323,chul'man,56.8479,124.9104,2.91,99,99,2.76,RU,1684618622
324,cockburn town,21.4612,-71.1419,26.11,83,98,9.88,TC,1684618623
325,cabo san lucas,22.8909,-109.9124,31.45,42,0,5.66,MX,1684618487
326,coro,11.4045,-69.6734,29.39,72,67,9.36,VE,1684618623
327,pitimbu,-7.4706,-34.8086,26.33,90,10,4.25,BR,1684618623
328,chilmari,25.5559,89.6715,24.63,77,0,3.9,BD,1684618623
329,chibougamau,49.9168,-74.3659,16.79,55,100,3.6,CA,1684618623
330,ust'-talovka,50.5493,81.85,7.07,61,1,2.34,KZ,1684618623
331,dapa,9.7594,126.0531,27.4,78,66,0.8,PH,1684618623
332,praia da vitoria,38.7333,-27.0667,18.14,77,20,6.15,PT,1684618623
333,mount isa,-20.7333,139.5,9.87,46,2,4.63,AU,1684618623
334,susaki,33.3667,133.2833,19.04,85,66,0.34,JP,1684618623
335,krasnoturansk,54.3186,91.5639,6.97,58,95,2.05,RU,1684618623
336,la junta,37.985,-103.5438,24.54,38,20,4.63,US,1684618623
337,rio grande,-32.035,-52.0986,19.06,89,100,3.51,BR,1684618624
338,wewak,-3.5534,143.6268,25.02,87,100,2.0,PG,1684618624
339,rundu,-17.9333,19.7667,18.32,30,3,2.12,NA,1684618624
340,alice springs,-23.7,133.8833,2.75,87,0,4.09,AU,1684618624
341,santa cruz del norte,23.1539,-81.9236,28.39,67,1,5.52,CU,1684618624
342,naze,28.3667,129.4833,19.51,78,97,3.3,JP,1684618624
343,yamethin,20.4333,96.15,25.72,64,0,2.59,MM,1684618624
344,bada,51.392,109.8717,3.3,94,28,1.61,RU,1684618624
345,carbonear,47.7332,-53.2148,12.64,79,100,7.0,CA,1684618624
346,jaithari,23.2333,78.6167,32.92,17,21,1.15,IN,1684618624
347,timbuktu,16.7735,-3.0074,34.46,16,94,3.87,ML,1684618624
348,vadso,70.0744,29.7487,12.49,71,75,2.06,NO,1684618624
349,neryungri,56.6709,124.6491,2.71,99,96,2.33,RU,1684618625
350,chimore,-16.9833,-65.1333,22.96,97,62,0.4,BO,1684618625
351,gadzhiyevo,69.2551,33.3362,10.88,80,96,4.16,RU,1684618625
